,round,start_seconds,end_seconds,round_duration,ct_eq_val,t_eq_val,is_bomb_planted,bomb_site,past_halftime,de_overpass,de_cache,de_mirage,de_inferno,de_train,de_dust2,de_cbble,de_nuke,PISTOL_ROUND,ECO,SEMI_ECO,NORMAL,FORCE_BUY,t_lethal_nades_eff,ct_lethal_nades_eff,t_util_nades_eff,ct_util_nades_eff,winner_side_class,terrorist_win,counterterrorist_win
58,35,3662.083,3755.04,92.95699999999987,34300,27150,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,8,18,7,5,1,1,0
59,36,3755.04,3844.616,89.57600000000002,35000,24950,1,-1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,7,10,10,2,-1,0,1
60,37,3844.616,3948.291,103.67499999999971,32100,27950,1,-1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,4,6,6,6,-1,1,0
61,38,3986.421,4079.894,93.4730000000004,31050,27750,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,3,7,5,6,1,1,0
62,39,4079.894,4153.809,73.91499999999995,29500,27350,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,6,12,2,8,1,0,1
63,2,203.8864,300.9222,97.03579999999997,14200,7950,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,3,1,0,1
64,3,300.9222,383.8387,82.91650000000004,18900,1600,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5,0,5,1,0,1
65,4,383.8387,467.5534,83.7147,25800,22200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,3,2,7,-1,0,1
66,5,467.5534,627.0779,159.5245,19800,24400,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,8,3,6,6,1,1,0
67,6,627.0779,729.2011,102.1232,18350,22250,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,1,6,1,0,1
68,7,729.2011,820.1634,90.96230000000004,27350,9500,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,2,3,-1,0,1
69,8,820.1634,887.6299,67.4665,12650,26350,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,1,6,1,1,1,0
70,9,887.6299,992.9777,105.3478,19900,5200,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6,0,4,1,0,1
71,10,992.9777,1110.05,117.07229999999993,29550,2950,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6,0,5,1,0,1
72,11,1110.05,1230.331,120.28100000000019,27900,24800,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6,6,8,7,-1,0,1
73,12,1230.331,1345.729,115.39799999999993,2550,25100,1,-1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,0,5,0,-1,1,0
